crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10301,4,0,0,0,0,0,0,0,0,0,0,0,0,3,10.066666666666666
Crew_10302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10303,2,0,0,0,0,0,0,0,0,0,0,0,0,3,16.25
Crew_10304,2,0,0,0,0,0,0,0,0,0,1,0,0,5,17.6
Crew_10305,6,0,0,0,0,0,0,0,0,0,1,0,0,5,17.366666666666664
Crew_10306,5,0,0,0,0,0,0,0,0,0,0,0,0,5,20.083333333333332
Crew_10308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10310,4,0,0,0,0,0,0,0,0,0,0,0,0,4,13.216666666666665
Crew_10311,4,0,0,0,0,0,0,0,0,0,0,0,0,4,11.883333333333333
Crew_10312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10314,3,0,0,0,0,0,0,0,0,0,0,0,0,4,23.216666666666665
Crew_10316,5,0,0,0,0,0,0,0,0,0,0,0,0,3,11.566666666666668
Crew_10317,6,0,0,0,0,0,0,0,0,0,0,0,0,1,6.466666666666667
Crew_10318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10319,2,0,0,0,0,0,0,0,0,0,2,0,0,5,29.483333333333334
Crew_10321,3,0,0,0,0,0,0,0,0,0,2,0,0,5,26.78333333333333
Crew_10322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10323,5,0,0,0,0,0,0,0,0,0,0,0,0,2,4.483333333333333
Crew_10325,2,0,0,0,0,0,0,0,0,0,0,0,0,5,21.333333333333332
Crew_10327,6,0,0,0,0,0,0,0,0,0,0,0,0,4,12.566666666666666
Crew_10328,2,0,0,0,0,0,0,0,0,0,0,0,0,5,26.716666666666665
